Tree,DepthIndex,Feature,Threshold
41,4,mean_integrated_flux_s16_mod,32702610.0
41,5,mean_integrated_flux_s11_mod,87935840.0
42,0,mean_integrated_flux_s10_mod,24507136.0
42,1,mean_integrated_flux_s16_mod,44317936.0
42,2,Temp,49.6960334777832
42,3,mean_integrated_flux_s9_mod,66161124.0
42,4,mean_integrated_flux_s10_mod,78248896.0
42,5,Bx_gsm,-1.4606809616088867
43,0,mean_integrated_flux_s16_mod,40513708.0
43,1,mean_integrated_flux_s11_mod,171839440.0
43,2,proton_xvelocity,-370.11163330078125
43,3,Temp,41.44773864746094
43,4,mean_integrated_flux_s11_mod,86314968.0
43,5,Bz_gse,-1.6622123718261719
44,0,mean_integrated_flux_s11_mod,5277371.0
44,1,proton_yvelocity,11.959178924560547
44,2,alpha_density,0.029568267986178398
44,3,alpha_bulk_speed,415.74993896484375
44,4,Temp,45.24412155151367
44,5,Bx_gsm,1.1934536695480347
45,0,mean_integrated_flux_s11_mod,5277371.0
45,1,proton_yvelocity,10.84707260131836
45,2,Temp,45.44057846069336
45,3,mean_integrated_flux_s9_mod,13215638.0
45,4,alpha_bulk_speed,419.03875732421875
45,5,mean_integrated_flux_s19_mod,76163560.0
46,0,mean_integrated_flux_s16_mod,36647420.0
46,1,mean_integrated_flux_s10_mod,253904096.0
46,2,Bx_gse,-1.5369223356246948
46,3,alpha_bulk_speed,415.10260009765625
46,4,Bz_gsm,-5.009020805358887
46,5,mean_integrated_flux_s19_mod,52813300.0
47,0,mean_integrated_flux_s16_mod,34415600.0
47,1,alpha_thermal,37.86503601074219
47,2,Speed_bulk_proton,366.81451416015625
47,3,mean_integrated_flux_s11_mod,75112520.0
47,4,Bz_gse,-2.608440637588501
47,5,Bx_gse,3.582700729370117
48,0,mean_integrated_flux_s16_mod,38988336.0
48,1,mean_integrated_flux_s11_mod,171839440.0
48,2,proton_xvelocity,-368.84149169921875
48,3,mean_integrated_flux_s11_mod,63033984.0
48,4,Speed_bulk_proton,328.4191589355469
48,5,Temp,45.634132385253906
49,0,mean_integrated_flux_s17_mod,276477376.0
49,1,Temp,41.800926208496094
49,2,proton_yvelocity,32.58256149291992
49,3,proton_xvelocity,-366.12103271484375
49,4,mean_integrated_flux_s11_mod,64979616.0
49,5,proton_xvelocity,-329.1539611816406
50,0,mean_integrated_flux_s17_mod,252006816.0
50,1,Temp,43.12206268310547
50,2,proton_xvelocity,-364.7006530761719
50,3,mean_integrated_flux_s11_mod,63688424.0
50,4,Speed_bulk_proton,322.56146240234375
50,5,mean_integrated_flux_s19_mod,35905304.0
51,0,mean_integrated_flux_s11_mod,6781114.0
51,1,proton_yvelocity,10.968090057373047
51,2,alpha_density,0.023870810866355896
51,3,By_gse,3.432371139526367
51,4,alpha_density,0.18901929259300232
51,5,proton_xvelocity,-363.9822692871094
52,0,mean_integrated_flux_s11_mod,5277371.0
52,1,proton_yvelocity,11.099187850952148
52,2,Bz_gsm,-6.567401885986328
52,3,mean_integrated_flux_s9_mod,12519240.0
52,4,Temp,45.82896423339844
52,5,alpha_bulk_speed,424.81475830078125
53,0,mean_integrated_flux_s16_mod,38988336.0
53,1,Temp,50.563690185546875
53,2,Temp,43.322330474853516
53,3,Bx_gse,-1.423588752746582
53,4,proton_yvelocity,15.879157066345215
53,5,alpha_bulk_speed,411.673583984375
54,0,mean_integrated_flux_s16_mod,39991740.0
54,1,Temp,48.46342849731445
54,2,mean_integrated_flux_s11_mod,14702534.0
54,3,proton_yvelocity,12.80604362487793
54,4,alpha_bulk_speed,419.03875732421875
54,5,Bx_gsm,-1.651216983795166
55,0,mean_integrated_flux_s16_mod,37583760.0
55,1,alpha_thermal,37.316810607910156
55,2,Speed_bulk_proton,359.6622009277344
55,3,mean_integrated_flux_s11_mod,64303312.0
55,4,Bz_gsm,-3.5104658603668213
55,5,mean_integrated_flux_s19_mod,46124880.0
56,0,mean_integrated_flux_s9_mod,48845000.0
56,1,Speed_bulk_proton,371.7872314453125
56,2,Temp,41.62086486816406
56,3,proton_zvelocity,-38.72684860229492
56,4,Speed_bulk_proton,325.2744140625
56,5,Bz_gsm,-3.2373170852661133
57,0,mean_integrated_flux_s16_mod,41028560.0
57,1,alpha_thermal,38.406803131103516
57,2,Bx_gse,2.140533208847046
57,3,alpha_bulk_speed,409.1983642578125
57,4,Bz_gsm,-5.505341053009033
57,5,alpha_density,0.05854810029268265
58,0,mean_integrated_flux_s11_mod,6781114.0
58,1,proton_yvelocity,8.69035530090332
58,2,Bz_gsm,-6.671780109405518
58,3,Temp,46.4185676574707
58,4,alpha_density,0.06280872225761414
58,5,proton_xvelocity,-361.02130126953125
59,0,mean_integrated_flux_s16_mod,38532716.0
59,1,mean_integrated_flux_s9_mod,49257768.0
59,2,Temp,49.34557342529297
59,3,proton_xvelocity,-366.81451416015625
59,4,mean_integrated_flux_s11_mod,72998408.0
59,5,Bz_gsm,-2.519477605819702
60,0,mean_integrated_flux_s11_mod,6781114.0
60,1,proton_yvelocity,11.47554874420166
60,2,alpha_density,0.029568267986178398
60,3,proton_xvelocity,-416.567626953125
60,4,Temp,42.52865219116211
60,5,By_gse,3.3805785179138184
61,0,mean_integrated_flux_s17_mod,228611424.0
61,1,Temp,46.9886360168457
61,2,mean_integrated_flux_s11_mod,14702534.0
61,3,proton_yvelocity,10.968090057373047
61,4,alpha_density,0.05516470968723297
61,5,Bz_gsm,-5.073660850524902
62,0,mean_integrated_flux_s16_mod,100182408.0
62,1,Temp,40.92485809326172
62,2,Speed_bulk_proton,366.1201477050781
62,3,mean_integrated_flux_s11_mod,50694104.0
62,4,By_gsm,-5.452837944030762
62,5,proton_yvelocity,12.082575798034668
63,0,mean_integrated_flux_s17_mod,273130944.0
63,1,mean_integrated_flux_s11_mod,24687612.0
63,2,proton_yvelocity,9.058096885681152
63,3,Temp,46.60652160644531
63,4,Bx_gsm,1.5241451263427734
63,5,Speed_bulk_proton,361.7496032714844
64,0,Speed_bulk_proton,368.1624755859375
64,1,mean_integrated_flux_s9_mod,33460994.0
64,2,Temp,41.98632049560547
64,3,proton_xvelocity,-324.3726501464844
64,4,proton_yvelocity,17.3924560546875
64,5,By_gsm,-2.716825246810913
65,0,mean_integrated_flux_s9_mod,51369484.0
65,1,proton_xvelocity,-368.84149169921875
65,2,Temp,43.322330474853516
65,3,proton_zvelocity,-42.876182556152344
65,4,Bz_gsm,-3.7870755195617676
65,5,mean_integrated_flux_s19_mod,51164032.0
66,0,mean_integrated_flux_s9_mod,42496768.0
66,1,proton_xvelocity,-366.12103271484375
66,2,proton_xvelocity,-327.6534423828125
66,3,Temp,40.92485809326172
66,4,mean_integrated_flux_s11_mod,81605888.0
66,5,mean_integrated_flux_s18_mod,88513400.0
67,0,mean_integrated_flux_s17_mod,260583616.0
67,1,Temp,46.01580047607422
67,2,mean_integrated_flux_s11_mod,6781114.0
67,3,proton_yvelocity,9.17855453491211
67,4,mean_integrated_flux_s9_mod,15702286.0
67,5,alpha_density,0.0487896203994751
68,0,mean_integrated_flux_s11_mod,10733162.0
68,1,proton_yvelocity,11.595346450805664
68,2,mean_integrated_flux_s9_mod,14183496.0
68,3,proton_xvelocity,-423.1217956542969
68,4,Temp,41.98632049560547
68,5,By_gse,3.276434898376465
69,0,mean_integrated_flux_s9_mod,49681492.0
69,1,proton_zvelocity,-41.793678283691406
69,2,proton_xvelocity,-368.84149169921875
69,3,alpha_thermal,38.13380432128906
69,4,Bx_gse,2.6210179328918457
69,5,mean_integrated_flux_s11_mod,48826852.0
70,0,mean_integrated_flux_s11_mod,12101684.0
70,1,proton_yvelocity,11.836616516113281
70,2,mean_integrated_flux_s9_mod,13863890.0
70,3,alpha_bulk_speed,413.1025695800781
70,4,Temp,43.12206268310547
70,5,alpha_density,0.03983311727643013
71,0,mean_integrated_flux_s9_mod,45164120.0
71,1,proton_xvelocity,-368.16278076171875
71,2,Temp,45.04777908325195
71,3,alpha_bulk_speed,317.19970703125
71,4,proton_yvelocity,5.366798400878906
71,5,mean_integrated_flux_s9_mod,12519240.0
72,0,Temp,69.02291107177734
72,1,mean_integrated_flux_s11_mod,6781114.0
72,2,Speed_bulk_proton,358.3107604980469
72,3,mean_integrated_flux_s11_mod,55579568.0
72,4,By_gse,-6.116243362426758
72,5,alpha_thermal,31.83380889892578
73,0,mean_integrated_flux_s9_mod,50494760.0
73,1,Speed_bulk_proton,369.4625244140625
